brand,eans,file_urls,files,model,model_2,product,product_lang,product_parent,source,thumb,type,url
Danby,,https://www.danby.com/wp-content/uploads/2021/07/DCF038A2WDB_DCF038A2WDB-3_DCF038A3WDB_EFSOM_20210705.pdf,,DCF038A2WDB,,Freezers,en,Refrigeration,danby.com,https://www.danby.com/wp-content/uploads/2016/04/DCF038A1WDB_front1-606x768.jpg,Owner's Manual,https://www.danby.com/products/freezers/dcf038a2wdb/
Danby,,https://www.danby.com/wp-content/uploads/2020/06/DCF038A2WDB-DCF038A2WDB-3-DCF038A3WDB-Energy-Card-1.pdf,,DCF038A2WDB,,Freezers,en,Refrigeration,danby.com,https://www.danby.com/wp-content/uploads/2016/04/DCF038A1WDB_front1-606x768.jpg,Energy Guide,https://www.danby.com/products/freezers/dcf038a2wdb/
Danby,,https://www.danby.com/products/freezers/dcf038a2wdb/?o=pdf,,DCF038A2WDB,,Freezers,en,Refrigeration,danby.com,https://www.danby.com/wp-content/uploads/2016/04/DCF038A1WDB_front1-606x768.jpg,Product Specifications,https://www.danby.com/products/freezers/dcf038a2wdb/
Danby,,https://www.danby.com/wp-content/uploads/2020/06/DAR044A9SLDB_EFSOM_20200413.pdf,,DAR044A9SLDB,,Compact Refrigerators,en,Refrigeration,danby.com,https://www.danby.com/wp-content/uploads/2020/06/Side-view-of-door-closing.jpg,Owner's Manual,https://www.danby.com/products/compact-refrigerators/dar044a9sldb/
Danby,,https://www.danby.com/wp-content/uploads/2020/06/DAR044A9SLDB-Energy-Card.pdf,,DAR044A9SLDB,,Compact Refrigerators,en,Refrigeration,danby.com,https://www.danby.com/wp-content/uploads/2020/06/Side-view-of-door-closing.jpg,Energy Guide,https://www.danby.com/products/compact-refrigerators/dar044a9sldb/
Danby,,https://www.danby.com/wp-content/uploads/2018/12/DAC080EB1WDB_DAC100EB1WDB_DAC120EB1WDB_DAC120EB1WDB-6_EFSOM_20181114-3.pdf,,DAC120EB1WDB,,Window Air Conditioners,en,Climate Control,danby.com,https://www.danby.com/wp-content/uploads/2018/12/DAC120EB1WDB_insetting-606x627.jpg,Owner's Manual,https://www.danby.com/products/window-air-conditioners/dac120eb1wdb-2/
Danby,,https://www.danby.com/wp-content/uploads/2020/06/DCR016A1BBSL_EFSOM_20200331.pdf,,DCR016A1BBSL,,Compact Refrigerators,en,Refrigeration,danby.com,https://www.danby.com/wp-content/uploads/2020/06/DCR016A1BBSL_Right-1-606x600.jpg,Owner's Manual,https://www.danby.com/products/compact-refrigerators/dcr016a1bbsl/
Danby,,https://www.danby.com/products/compact-refrigerators/dar044a9sldb/?o=pdf,,DAR044A9SLDB,,Compact Refrigerators,en,Refrigeration,danby.com,https://www.danby.com/wp-content/uploads/2020/06/Side-view-of-door-closing.jpg,Product Specifications,https://www.danby.com/products/compact-refrigerators/dar044a9sldb/
Danby,,https://www.danby.com/wp-content/uploads/2020/06/DAC120EB1WDB-6-Engergy-guide-Energuide.pdf,,DAC120EB1WDB,,Window Air Conditioners,en,Climate Control,danby.com,https://www.danby.com/wp-content/uploads/2018/12/DAC120EB1WDB_insetting-606x627.jpg,Energy Guide,https://www.danby.com/products/window-air-conditioners/dac120eb1wdb-2/
Danby,,https://www.danby.com/wp-content/uploads/2021/07/DCR016A1BBSL-Energy-card-.pdf,,DCR016A1BBSL,,Compact Refrigerators,en,Refrigeration,danby.com,https://www.danby.com/wp-content/uploads/2020/06/DCR016A1BBSL_Right-1-606x600.jpg,Energy Guide,https://www.danby.com/products/compact-refrigerators/dcr016a1bbsl/
Danby,,https://www.danby.com/products/window-air-conditioners/dac120eb1wdb-2/?o=pdf,,DAC120EB1WDB,,Window Air Conditioners,en,Climate Control,danby.com,https://www.danby.com/wp-content/uploads/2018/12/DAC120EB1WDB_insetting-606x627.jpg,Product Specifications,https://www.danby.com/products/window-air-conditioners/dac120eb1wdb-2/
Danby,,https://www.danby.com/products/compact-refrigerators/dcr016a1bbsl/?o=pdf,,DCR016A1BBSL,,Compact Refrigerators,en,Refrigeration,danby.com,https://www.danby.com/wp-content/uploads/2020/06/DCR016A1BBSL_Right-1-606x600.jpg,Product Specifications,https://www.danby.com/products/compact-refrigerators/dcr016a1bbsl/
Danby,,https://www.danby.com/wp-content/uploads/2020/08/DCF072A3BDB_DCF072A3WDB_DCF072A3WDB-3_DCF072A3WDB-6_EFSOM_20200813.pdf,,DCF072A3WDB-6,,Freezers,en,Refrigeration,danby.com,https://www.danby.com/wp-content/uploads/2020/08/DCF072A3WDB_Badge-606x606.jpg,Owner's Manual,https://www.danby.com/products/freezers/dcf072a3wdb-6/
Danby,,https://www.danby.com/wp-content/uploads/2020/07/DCF072A3WDB-6-Energy-Card.pdf,,DCF072A3WDB-6,,Freezers,en,Refrigeration,danby.com,https://www.danby.com/wp-content/uploads/2020/08/DCF072A3WDB_Badge-606x606.jpg,Energy Guide,https://www.danby.com/products/freezers/dcf072a3wdb-6/
Danby,,https://www.danby.com/products/freezers/dcf072a3wdb-6/?o=pdf,,DCF072A3WDB-6,,Freezers,en,Refrigeration,danby.com,https://www.danby.com/wp-content/uploads/2020/08/DCF072A3WDB_Badge-606x606.jpg,Product Specifications,https://www.danby.com/products/freezers/dcf072a3wdb-6/
Danby,,https://www.danby.com/wp-content/uploads/2020/01/DAS180DBAHWDB_Installation-Manual_EFSOM_20191217.pdf,,DAS180DBAHWDB,,Ductless Split Systems,en,Climate Control,danby.com,https://www.danby.com/wp-content/uploads/2020/04/DAS180DBAHWDB-606x481.jpg,Owner's Manual,https://www.danby.com/products/ductless-split-systems/das180dbahwdb/
